normalization,word_ngram,char_ngram,char_weight,location_boost,cold,warm,benchmark_mix_63_cold_37_warm,bootstrap_cold_mean,bootstrap_cold_std,bootstrap_cold_min,bootstrap_cold_max,bootstrap_warm_mean,bootstrap_warm_std,bootstrap_warm_min,bootstrap_warm_max,bootstrap_mix_mean,bootstrap_mix_std,bootstrap_mix_min,bootstrap_mix_max
plain,unigram,2_to_3,0.0,0.0,0.2437133333333333,0.23767743589743587,0.24148005128205124,0.24384199999999998,0.006477524332758736,0.23628000000000002,0.25484666666666667,0.2366231794871795,0.0069911795102510586,0.22565487179487181,0.2490266666666667,0.2411710364102564,0.003342389062036154,0.23592682051282046,0.24712353333333334
plain,unigram,2_to_3,0.0,0.1,0.41400666666666663,0.41601820512820525,0.41475093589743595,0.417366,0.009286930388959691,0.39817333333333327,0.42694,0.41432569230769234,0.007337547433217797,0.4043579487179487,0.4244697435897436,0.41624108615384614,0.006897032334716088,0.40101796923076916,0.4243502051282051
plain,unigram,2_to_3,0.0,0.2,0.4558199999999999,0.47543153846153846,0.46307626923076917,0.46059133333333324,0.006495430530594388,0.44850666666666666,0.46863999999999995,0.473748358974359,0.006626323216668363,0.46505641025641026,0.4839297435897435,0.46545943282051283,0.004778613959013186,0.4581430358974359,0.47429720512820506
plain,unigram,2_to_3,0.0,0.3,0.4579,0.4769448717948719,0.4649466025641026,0.46270333333333336,0.006753662929326813,0.4494666666666666,0.4704,0.47530435897435896,0.00702946846583149,0.46688974358974356,0.4868897435897436,0.46736571282051287,0.005077400256759961,0.4589794358974359,0.47650120512820515
plain,unigram,2_to_3,0.0,0.4,0.4575,0.47654487179487187,0.46454660256410263,0.4622233333333333,0.006857240023562034,0.4486666666666666,0.4704,0.47490435897435895,0.007019198914964999,0.46648974358974354,0.48608974358974355,0.4669153128205128,0.005152226689798561,0.45872743589743586,0.4762052051282051
plain,unigram,2_to_3,0.0,0.5,0.4575,0.47654487179487187,0.46454660256410263,0.4622233333333333,0.006857240023562034,0.4486666666666666,0.4704,0.47490435897435895,0.007019198914964999,0.46648974358974354,0.48608974358974355,0.4669153128205128,0.005152226689798561,0.45872743589743586,0.4762052051282051
plain,unigram,2_to_3,0.0,0.56,0.4575,0.47654487179487187,0.46454660256410263,0.4622233333333333,0.006857240023562034,0.4486666666666666,0.4704,0.47490435897435895,0.007019198914964999,0.46648974358974354,0.48608974358974355,0.4669153128205128,0.005152226689798561,0.45872743589743586,0.4762052051282051
plain,unigram,2_to_3,0.0,0.6,0.4575,0.47654487179487187,0.46454660256410263,0.4622233333333333,0.006857240023562034,0.4486666666666666,0.4704,0.47490435897435895,0.007019198914964999,0.46648974358974354,0.48608974358974355,0.4669153128205128,0.005152226689798561,0.45872743589743586,0.4762052051282051
plain,unigram,2_to_3,0.0,0.7,0.4575,0.47654487179487187,0.46454660256410263,0.4622233333333333,0.006857240023562034,0.4486666666666666,0.4704,0.47490435897435895,0.007019198914964999,0.46648974358974354,0.48608974358974355,0.4669153128205128,0.005152226689798561,0.45872743589743586,0.4762052051282051
plain,unigram,2_to_3,0.0,0.8,0.4575,0.47654487179487187,0.46454660256410263,0.4622233333333333,0.006857240023562034,0.4486666666666666,0.4704,0.47490435897435895,0.007019198914964999,0.46648974358974354,0.48608974358974355,0.4669153128205128,0.005152226689798561,0.45872743589743586,0.4762052051282051
plain,unigram,2_to_3,0.0,0.9,0.4575,0.47654487179487187,0.46454660256410263,0.4622233333333333,0.006857240023562034,0.4486666666666666,0.4704,0.47490435897435895,0.007019198914964999,0.46648974358974354,0.48608974358974355,0.4669153128205128,0.005152226689798561,0.45872743589743586,0.4762052051282051
plain,unigram,2_to_3,0.0,1.0,0.4575,0.47654487179487187,0.46454660256410263,0.4622233333333333,0.006857240023562034,0.4486666666666666,0.4704,0.47490435897435895,0.007019198914964999,0.46648974358974354,0.48608974358974355,0.4669153128205128,0.005152226689798561,0.45872743589743586,0.4762052051282051
plain,unigram,2_to_3,0.1,0.0,0.25417999999999996,0.2545774358974359,0.25432705128205124,0.2543353333333333,0.0072054355682633735,0.2414133333333333,0.26611333333333326,0.25314984615384617,0.00584302409251354,0.24433999999999997,0.2620266666666667,0.2538967030769231,0.003497295272930824,0.24904026666666668,0.25805719999999993
plain,unigram,2_to_3,0.1,0.1,0.41365999999999997,0.4246574358974359,0.4177290512820513,0.4149273333333333,0.009052839374513422,0.39902666666666664,0.42686,0.4225325128205128,0.003793445602489376,0.41729743589743595,0.42978153846153855,0.4177412497435897,0.005861527555763275,0.4057868512820513,0.4243884
plain,unigram,2_to_3,0.1,0.2,0.49451999999999996,0.5089148717948718,0.49984610256410256,0.49629466666666666,0.007547572776384121,0.4865866666666666,0.5080199999999999,0.5081216923076923,0.00754725420145933,0.49725641025641026,0.5217964102564104,0.5006706661538461,0.005667553002446787,0.49204103589743586,0.5109822051282051
