retriever,mode,queries,recall_at_50,recall_at_pool,benchmark_mix_recall_at_50,benchmark_mix_recall_at_pool
char_bm25,cold,2500,0.32677333333333336,0.6526133333333333,0.310856217948718,0.6490338205128204
char_bm25,warm,2500,0.28375410256410255,0.6429389743589743,0.310856217948718,0.6490338205128204
fasttext,cold,2500,0.2059133333333333,0.42018,0.21077076923076923,0.43006848717948715
fasttext,warm,2500,0.21904153846153848,0.44690564102564095,0.21077076923076923,0.43006848717948715
union_pool,cold,2500,,0.7660933333333333,,0.7633875897435898
union_pool,warm,2500,,0.7587805128205128,,0.7633875897435898
word_bm25,cold,2500,0.34107333333333334,0.6536799999999999,0.3257420512820513,0.6553184358974359
word_bm25,warm,2500,0.2996374358974359,0.6581082051282052,0.3257420512820513,0.6553184358974359
