mode,char_weight,location_boost,queries,recall_at_50,queries_with_hit,benchmark_mix_63_cold_37_warm
cold,0.0,0.3,2500,0.4557466666666667,1157,0.4648529358974359
cold,0.0,0.5,2500,0.4557466666666667,1157,0.46500093589743596
cold,0.0,0.7,2500,0.4557466666666667,1157,0.46500093589743596
cold,0.25,0.3,2500,0.5187333333333334,1317,0.5275673205128205
cold,0.25,0.5,2500,0.5323599999999999,1351,0.5426246538461538
cold,0.25,0.7,2500,0.5337599999999999,1354,0.5440246538461537
cold,0.5,0.3,2500,0.4692733333333334,1197,0.4799212692307693
cold,0.5,0.5,2500,0.5198333333333334,1322,0.529728935897436
cold,0.5,0.7,2500,0.5264599999999999,1337,0.5369229358974359
cold,0.75,0.3,2500,0.41767333333333334,1068,0.4266439358974359
cold,0.75,0.5,2500,0.4888333333333334,1245,0.5005542692307693
cold,0.75,0.7,2500,0.5161133333333333,1312,0.5263296025641025
cold,1.0,0.3,2500,0.39019333333333334,999,0.3976099358974359
cold,1.0,0.5,2500,0.4544333333333334,1159,0.4643659358974359
cold,1.0,0.7,2500,0.49663333333333337,1264,0.5072936025641025
warm,0.0,0.3,2500,0.4803582051282052,1232,0.4648529358974359
warm,0.0,0.5,2500,0.4807582051282052,1233,0.46500093589743596
warm,0.0,0.7,2500,0.4807582051282052,1233,0.46500093589743596
warm,0.25,0.3,2500,0.5426089743589744,1387,0.5275673205128205
warm,0.25,0.5,2500,0.5601023076923076,1429,0.5426246538461538
warm,0.25,0.7,2500,0.5615023076923077,1432,0.5440246538461537
warm,0.5,0.3,2500,0.49805153846153843,1278,0.4799212692307693
warm,0.5,0.5,2500,0.5465782051282051,1398,0.529728935897436
warm,0.5,0.7,2500,0.5547382051282052,1416,0.5369229358974359
warm,0.75,0.3,2500,0.44191820512820507,1139,0.4266439358974359
warm,0.75,0.5,2500,0.5205115384615385,1334,0.5005542692307693
warm,0.75,0.7,2500,0.5437248717948718,1391,0.5263296025641025
warm,1.0,0.3,2500,0.41023820512820514,1059,0.3976099358974359
warm,1.0,0.5,2500,0.48127820512820507,1236,0.4643659358974359
warm,1.0,0.7,2500,0.5254448717948716,1346,0.5072936025641025
