document_variant,cold_bm25,cold_tfidf,warm_bm25,warm_tfidf,benchmark_mix_63_cold_37_warm_bm25,benchmark_mix_63_cold_37_warm_tfidf,bm25_minus_tfidf
title,0.23854666666666666,0.21663333333333332,0.24934410256410255,0.22486410256410255,0.24254171794871793,0.21967871794871793,0.022862999999999994
title_params,0.2509133333333333,0.21204666666666666,0.2481774358974359,0.21524410256410256,0.24990105128205128,0.21322971794871795,0.036671333333333334
all_text,0.32677333333333336,0.22836000000000004,0.28375410256410255,0.21115743589743588,0.310856217948718,0.2219950512820513,0.08886116666666669
