normalization,char_weight,location_boost,mode,queries,recall_at_50,queries_with_hit,benchmark_mix_63_cold_37_warm,delta_vs_baseline
baseline,0.0,0.7,cold,2500,0.4557466666666667,1157,0.46500093589743596,0.0
baseline,0.25,0.7,cold,2500,0.5337599999999999,1354,0.5440246538461537,0.0
baseline,0.0,0.7,warm,2500,0.4807582051282052,1233,0.46500093589743596,0.0
baseline,0.25,0.7,warm,2500,0.5615023076923077,1432,0.5440246538461537,0.0
russian_snowball,0.0,0.7,cold,2500,0.5212266666666666,1319,0.5318447179487179,0.06684378205128194
russian_snowball,0.25,0.7,cold,2500,0.5692266666666667,1442,0.5814101025641025,0.0373854487179488
russian_snowball,0.0,0.7,warm,2500,0.5499241025641026,1405,0.5318447179487179,0.06684378205128194
russian_snowball,0.25,0.7,warm,2500,0.6021548717948718,1537,0.5814101025641025,0.0373854487179488
